date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:54	42/42	---M--	200	added ('OK')	text/plain	etag:%222a-622eed69-277015;;;%22	https://itctestweekindia.org/robots.txt		(from )
15:07:55	164114/164114	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Sep%202022%2009:37:54%20GMT	https://itctestweekindia.org/	D:/Confispace_LLP/ITC_2022/itctestweekindia.org/index.html	(from )
15:07:55	83369/83369	---M-Z	200	added ('OK')	text/css	etag:%22145a9-622eed6b-468124;gz%22	https://itctestweekindia.org/wp-includes/css/dist/block-library/style.min.css?ver=3d07170d857eb519f39e7016bbfd8c21	D:/Confispace_LLP/ITC_2022/itctestweekindia.org/wp-includes/css/dist/block-library/style.min177b.css	(from https://itctestweekindia.org/)
15:07:55	56271/56271	---M-Z	200	added ('OK')	text/css	etag:%22dbcf-622eed62-3705f6;gz%22	https://itctestweekindia.org/axbdfajskljdf/kncmvnweruil/metform-pro/public/assets/css/style.min.css?ver=2.1.1	D:/Confispace_LLP/ITC_2022/itctestweekindia.org/axbdfajskljdf/kncmvnweruil/metform-pro/public/assets/css/style.mine1fc.css	(from https://itctestweekindia.org/)
15:07:55	5839/5839	---M-Z	200	added ('OK')	text/css	etag:%2216cf-622eed69-278f51;gz%22	https://itctestweekindia.org/axbdfajskljdf/themes/hello-elementor/style.min.css?ver=2.5.0	D:/Confispace_LLP/ITC_2022/itctestweekindia.org/axbdfajskljdf/themes/hello-elementor/style.min0875.css	(from https://itctestweekindia.org/)
15:07:55	15346/15346	---M-Z	200	added ('OK')	text/css	etag:%223bf2-622eed69-278f66;gz%22	https://itctestweekindia.org/axbdfajskljdf/themes/hello-elementor/theme.min.css?ver=2.5.0	D:/Confispace_LLP/ITC_2022/itctestweekindia.org/axbdfajskljdf/themes/hello-elementor/theme.min0875.css	(from https://itctestweekindia.org/)
15:07:56	107922/107922	---M-Z	200	added ('OK')	text/css	etag:%221a592-62569f82-2794d1;gz%22	https://itctestweekindia.org/axbdfajskljdf/kncmvnweruil/elementor/assets/css/frontend-lite.min.css?ver=3.6.4	D:/Confispace_LLP/ITC_2022/itctestweekindia.org/axbdfajskljdf/kncmvnweruil/elementor/assets/css/frontend-lite.min5aed.css	(from https://itctestweekindia.org/)
15:07:56	108305/108305	---MCZ	200	added ('OK')	application/rss+xml	etag:%22105dbe5bbef885f3a1ed9f181fc63b43%22	https://itctestweekindia.org/feed/	D:/Confispace_LLP/ITC_2022/itctestweekindia.org/feed/index.html	(from https://itctestweekindia.org/)
15:07:56	1227/1227	---M-Z	200	added ('OK')	text/css	etag:%224cb-625d1f3a-276f47;gz%22	https://itctestweekindia.org/axbdfajskljdf/uploads/elementor/css/post-5.css?ver=1650270010	D:/Confispace_LLP/ITC_2022/itctestweekindia.org/axbdfajskljdf/uploads/elementor/css/post-521bc.css	(from https://itctestweekindia.org/)
15:07:56	19128/19128	---M-Z	200	added ('OK')	text/css	etag:%224ab8-621ee6a0-370d8e;gz%22	https://itctestweekindia.org/axbdfajskljdf/kncmvnweruil/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	D:/Confispace_LLP/ITC_2022/itctestweekindia.org/axbdfajskljdf/kncmvnweruil/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://itctestweekindia.org/)
15:07:56	11405/11405	---M-Z	200	added ('OK')	text/css	etag:%222c8d-6254f4b0-2793aa;gz%22	https://itctestweekindia.org/axbdfajskljdf/kncmvnweruil/elementor-pro/assets/css/frontend-lite.min.css?ver=3.6.5	D:/Confispace_LLP/ITC_2022/itctestweekindia.org/axbdfajskljdf/kncmvnweruil/elementor-pro/assets/css/frontend-lite.min3ab2.css	(from https://itctestweekindia.org/)
15:07:56	26674/26674	---M-Z	200	added ('OK')	text/css	etag:%226832-62a96318-466bbb;gz%22	https://itctestweekindia.org/axbdfajskljdf/kncmvnweruil/ultimate-elementor/assets/min-css/uael-frontend.min.css?ver=1.36.4	D:/Confispace_LLP/ITC_2022/itctestweekindia.org/axbdfajskljdf/kncmvnweruil/ultimate-elementor/assets/min-css/uael-frontend.min2cd3.css	(from https://itctestweekindia.org/)
15:07:57	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-60cad184-370d9e;gz%22	https://itctestweekindia.org/axbdfajskljdf/kncmvnweruil/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.6.4	D:/Confispace_LLP/ITC_2022/itctestweekindia.org/axbdfajskljdf/kncmvnweruil/elementor/assets/lib/font-awesome/css/all.min5aed.css	(from https://itctestweekindia.org/)
15:07:57	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-60cad184-370dac;gz%22	https://itctestweekindia.org/axbdfajskljdf/kncmvnweruil/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.6.4	D:/Confispace_LLP/ITC_2022/itctestweekindia.org/axbdfajskljdf/kncmvnweruil/elementor/assets/lib/font-awesome/css/v4-shims.min5aed.css	(from https://itctestweekindia.org/)
